Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2015,"27,143","Census Tract 5304, Los Angeles County, California",530400,Monterey Park,1400000US06037530400,"(34.0388015, -118.153189)",Median_Household_Income_2015_1400000US06037530400,01/01/2015
Employment & Income,Income,Median Household Income,2013,"54,405","Census Tract 1095, Los Angeles County, California",109500,San Fernando,1400000US06037109500,"(34.274036, -118.4444575)",Median_Household_Income_2013_1400000US06037109500,01/01/2013
Employment & Income,Income,Median Household Income,2011,"63,364","Census Tract 5515.01, Los Angeles County, California",551501,Downey,1400000US06037551501,"(33.935499, -118.1570615)",Median_Household_Income_2011_1400000US06037551501,01/01/2011
Employment & Income,Income,Median Household Income,2011,"81,250","Census Tract 5502.02, Los Angeles County, California",550202,Norwalk,1400000US06037550202,"(33.923226, -118.0904465)",Median_Household_Income_2011_1400000US06037550202,01/01/2011
Employment & Income,Income,Median Household Income,2015,"43,520","Census Tract 6021.06, Los Angeles County, California",602106,Hawthorne,1400000US06037602106,"(33.92005, -118.359021)",Median_Household_Income_2015_1400000US06037602106,01/01/2015
Employment & Income,Income,Median Household Income,2013,"72,740","Census Tract 1032, Los Angeles County, California",103200,Lake View Terrace,1400000US06037103200,"(34.2745565, -118.3439025)",Median_Household_Income_2013_1400000US06037103200,01/01/2013
Employment & Income,Income,Median Household Income,2010,"100,982","Census Tract 9201.09, Los Angeles County, California",920109,Santa Clarita,1400000US06037920109,"(34.456252, -118.550261)",Median_Household_Income_2010_1400000US06037920109,01/01/2010
Employment & Income,Income,Median Household Income,2015,"50,341","Census Tract 4046, Los Angeles County, California",404600,Irwindale,1400000US06037404600,"(34.108944, -117.966677)",Median_Household_Income_2015_1400000US06037404600,01/01/2015
Employment & Income,Income,Median Household Income,2016,"92,750","Census Tract 9200.18, Los Angeles County, California",920018,Santa Clarita,1400000US06037920018,"(34.4558485, -118.52964)",Median_Household_Income_2016_1400000US06037920018,01/01/2016
Employment & Income,Income,Median Household Income,2015,"58,103","Census Tract 1920.01, Los Angeles County, California",192001,Fairfax,1400000US06037192001,"(34.084605, -118.3484225)",Median_Household_Income_2015_1400000US06037192001,01/01/2015
Employment & Income,Income,Median Household Income,2015,"72,660","Census Tract 2713, Los Angeles County, California",271300,Sawtelle,1400000US06037271300,"(34.023895, -118.4412965)",Median_Household_Income_2015_1400000US06037271300,01/01/2015
Employment & Income,Income,Median Household Income,2015,"54,717","Census Tract 1891.01, Los Angeles County, California",189101,Los Feliz,1400000US06037189101,"(34.1047355, -118.2885045)",Median_Household_Income_2015_1400000US06037189101,01/01/2015
Employment & Income,Income,Median Household Income,2014,"66,000","Census Tract 9200.26, Los Angeles County, California",920026,Castaic Canyons,1400000US06037920026,"(34.475127, -118.42794)",Median_Household_Income_2014_1400000US06037920026,01/01/2014
Employment & Income,Income,Median Household Income,2015,"87,302","Census Tract 2162, Los Angeles County, California",216200,Mid-Wilshire,1400000US06037216200,"(34.05688, -118.3480075)",Median_Household_Income_2015_1400000US06037216200,01/01/2015
Employment & Income,Income,Median Household Income,2013,"58,490","Census Tract 1837.02, Los Angeles County, California",183702,Montecito Heights,1400000US06037183702,"(34.1047815, -118.184373)",Median_Household_Income_2013_1400000US06037183702,01/01/2013
Employment & Income,Income,Median Household Income,2014,"35,887","Census Tract 6018.02, Los Angeles County, California",601802,Lennox,1400000US06037601802,"(33.9400165, -118.350423)",Median_Household_Income_2014_1400000US06037601802,01/01/2014
Employment & Income,Income,Median Household Income,2015,"38,468","Census Tract 5764.02, Los Angeles County, California",576402,Long Beach,1400000US06037576402,"(33.778975, -118.174161)",Median_Household_Income_2015_1400000US06037576402,01/01/2015
Employment & Income,Income,Median Household Income,2011,"38,681","Census Tract 4817.13, Los Angeles County, California",481713,Monterey Park,1400000US06037481713,"(34.067948, -118.1292845)",Median_Household_Income_2011_1400000US06037481713,01/01/2011
Employment & Income,Income,Median Household Income,2010,"88,438","Census Tract 9201.12, Los Angeles County, California",920112,Santa Clarita,1400000US06037920112,"(34.435109, -118.538718)",Median_Household_Income_2010_1400000US06037920112,01/01/2010
Employment & Income,Income,Median Household Income,2016,"76,755","Census Tract 4013.11, Los Angeles County, California",401311,San Dimas,1400000US06037401311,"(34.1100455, -117.815531)",Median_Household_Income_2016_1400000US06037401311,01/01/2016
Employment & Income,Income,Median Household Income,2011,"37,500","Census Tract 2111.22, Los Angeles County, California",211122,Koreatown,1400000US06037211122,"(34.0726525, -118.289233)",Median_Household_Income_2011_1400000US06037211122,01/01/2011
Employment & Income,Income,Median Household Income,2011,"51,418","Census Tract 5428, Los Angeles County, California",542800,Compton,1400000US06037542800,"(33.899566, -118.247761)",Median_Household_Income_2011_1400000US06037542800,01/01/2011
Employment & Income,Income,Median Household Income,2014,"37,136","Census Tract 4340.01, Los Angeles County, California",434001,El Monte,1400000US06037434001,"(34.051401, -118.014185)",Median_Household_Income_2014_1400000US06037434001,01/01/2014
Employment & Income,Income,Median Household Income,2010,"30,710","Census Tract 5350.01, Los Angeles County, California",535001,Florence-Firestone,1400000US06037535001,"(33.971394, -118.2531335)",Median_Household_Income_2010_1400000US06037535001,01/01/2010
Employment & Income,Income,Median Household Income,2016,"52,216","Census Tract 5723.01, Los Angeles County, California",572301,Long Beach,1400000US06037572301,"(33.8185705, -118.2180885)",Median_Household_Income_2016_1400000US06037572301,01/01/2016
Employment & Income,Income,Median Household Income,2015,"125,500","Census Tract 6704.06, Los Angeles County, California",670406,Rolling Hills Estates,1400000US06037670406,"(33.763222, -118.3859975)",Median_Household_Income_2015_1400000US06037670406,01/01/2015
Employment & Income,Income,Median Household Income,2014,"91,177","Census Tract 6512.22, Los Angeles County, California",651222,Torrance,1400000US06037651222,"(33.8127245, -118.360268)",Median_Household_Income_2014_1400000US06037651222,01/01/2014
Employment & Income,Income,Median Household Income,2012,"31,960","Census Tract 5410.01, Los Angeles County, California",541001,West Compton,1400000US06037541001,"(33.8937145, -118.2742165)",Median_Household_Income_2012_1400000US06037541001,01/01/2012
Employment & Income,Income,Median Household Income,2011,"57,111","Census Tract 9203.37, Los Angeles County, California",920337,Santa Clarita,1400000US06037920337,"(34.373884, -118.5145465)",Median_Household_Income_2011_1400000US06037920337,01/01/2011
Employment & Income,Income,Median Household Income,2011,"43,911","Census Tract 9001.04, Los Angeles County, California",900104,Northeast Antelope Valley,1400000US06037900104,"(34.587324, -117.844901)",Median_Household_Income_2011_1400000US06037900104,01/01/2011
Employment & Income,Income,Median Household Income,2011,,"Census Tract 2074, Los Angeles County, California",207400,Downtown,1400000US06037207400,"(34.056393, -118.24561)",Median_Household_Income_2011_1400000US06037207400,01/01/2011
Employment & Income,Income,Median Household Income,2015,"64,792","Census Tract 4614, Los Angeles County, California",461400,Pasadena,1400000US06037461400,"(34.1727525, -118.124329)",Median_Household_Income_2015_1400000US06037461400,01/01/2015
Employment & Income,Income,Median Household Income,2014,"55,156","Census Tract 1974.20, Los Angeles County, California",197420,Echo Park,1400000US06037197420,"(34.082834, -118.2561185)",Median_Household_Income_2014_1400000US06037197420,01/01/2014
Employment & Income,Income,Median Household Income,2014,"64,672","Census Tract 5435.01, Los Angeles County, California",543501,Carson,1400000US06037543501,"(33.842811, -118.283295)",Median_Household_Income_2014_1400000US06037543501,01/01/2014
Employment & Income,Income,Median Household Income,2012,"67,736","Census Tract 1436.04, Los Angeles County, California",143604,Studio City,1400000US06037143604,"(34.1406405, -118.369959)",Median_Household_Income_2012_1400000US06037143604,01/01/2012
Employment & Income,Income,Median Household Income,2015,"30,156","Census Tract 1282.10, Los Angeles County, California",128210,Van Nuys,1400000US06037128210,"(34.183584, -118.4443465)",Median_Household_Income_2015_1400000US06037128210,01/01/2015
Employment & Income,Income,Median Household Income,2016,"43,672","Census Tract 2127.01, Los Angeles County, California",212701,Koreatown,1400000US06037212701,"(34.0546775, -118.3194445)",Median_Household_Income_2016_1400000US06037212701,01/01/2016
Employment & Income,Income,Median Household Income,2015,"102,244","Census Tract 9012.13, Los Angeles County, California",901213,Leona Valley,1400000US06037901213,"(34.6249465, -118.305774)",Median_Household_Income_2015_1400000US06037901213,01/01/2015
Employment & Income,Income,Median Household Income,2013,"79,777","Census Tract 1171.01, Los Angeles County, California",117101,North Hills,1400000US06037117101,"(34.2391215, -118.4617905)",Median_Household_Income_2013_1400000US06037117101,01/01/2013
Employment & Income,Income,Median Household Income,2013,"100,750","Census Tract 3103, Los Angeles County, California",310300,Burbank,1400000US06037310300,"(34.1994375, -118.318784)",Median_Household_Income_2013_1400000US06037310300,01/01/2013
Employment & Income,Income,Median Household Income,2016,"40,023","Census Tract 2117.03, Los Angeles County, California",211703,Koreatown,1400000US06037211703,"(34.067143, -118.311589)",Median_Household_Income_2016_1400000US06037211703,01/01/2016
Employment & Income,Income,Median Household Income,2015,"48,669","Census Tract 5308.02, Los Angeles County, California",530802,East Los Angeles,1400000US06037530802,"(34.052195, -118.1814815)",Median_Household_Income_2015_1400000US06037530802,01/01/2015
Employment & Income,Income,Median Household Income,2016,"46,096","Census Tract 3203, Los Angeles County, California",320300,San Fernando,1400000US06037320300,"(34.2823865, -118.44586)",Median_Household_Income_2016_1400000US06037320300,01/01/2016
Employment & Income,Income,Median Household Income,2016,"71,165","Census Tract 1833, Los Angeles County, California",183300,Highland Park,1400000US06037183300,"(34.1213215, -118.2009575)",Median_Household_Income_2016_1400000US06037183300,01/01/2016
Employment & Income,Income,Median Household Income,2011,"22,411","Census Tract 2088.01, Los Angeles County, California",208801,Westlake,1400000US06037208801,"(34.0602215, -118.276593)",Median_Household_Income_2011_1400000US06037208801,01/01/2011
Employment & Income,Income,Median Household Income,2013,"61,250","Census Tract 5321.02, Los Angeles County, California",532102,Montebello,1400000US06037532102,"(33.997581, -118.111544)",Median_Household_Income_2013_1400000US06037532102,01/01/2013
Employment & Income,Income,Median Household Income,2014,"82,159","Census Tract 1066.42, Los Angeles County, California",106642,Granada Hills,1400000US06037106642,"(34.2863475, -118.5084525)",Median_Household_Income_2014_1400000US06037106642,01/01/2014
Employment & Income,Income,Median Household Income,2015,"28,646","Census Tract 2294.20, Los Angeles County, California",229420,South Park,1400000US06037229420,"(33.9925325, -118.2608205)",Median_Household_Income_2015_1400000US06037229420,01/01/2015
Employment & Income,Income,Median Household Income,2012,"44,904","Census Tract 2014.01, Los Angeles County, California",201401,El Sereno,1400000US06037201401,"(34.0809785, -118.18591)",Median_Household_Income_2012_1400000US06037201401,01/01/2012
Employment & Income,Income,Median Household Income,2010,"41,993","Census Tract 5333, Los Angeles County, California",533300,Maywood,1400000US06037533300,"(33.9924535, -118.202177)",Median_Household_Income_2010_1400000US06037533300,01/01/2010
Employment & Income,Income,Median Household Income,2014,"40,360","Census Tract 5339.01, Los Angeles County, California",533901,Bell Gardens,1400000US06037533901,"(33.9729615, -118.1563865)",Median_Household_Income_2014_1400000US06037533901,01/01/2014
Employment & Income,Income,Median Household Income,2011,"63,750","Census Tract 1171.02, Los Angeles County, California",117102,North Hills,1400000US06037117102,"(34.2463715, -118.4596495)",Median_Household_Income_2011_1400000US06037117102,01/01/2011
Employment & Income,Income,Median Household Income,2016,"83,852","Census Tract 8003.29, Los Angeles County, California",800329,Unincorporated Santa Monica Mountains,1400000US06037800329,"(34.125924, -118.741482)",Median_Household_Income_2016_1400000US06037800329,01/01/2016
